iter	RMSE
0	671950.6177
1	567035.9704
2	479651.5174
3	412880.7963
4	361845.1348
5	321695.9237
6	287891.2282
7	263228.5491
8	245100.7283
9	230528.4674
10	218006.0994
11	207173.2031
12	200003.8368
13	191762.4402
14	187259.1806
15	183391.6455
16	180831.6526
17	178505.412
18	175410.9059
19	171038.8284
20	170049.2243
21	166582.5449
22	164064.4108
23	162835.427
24	159880.5072
25	158609.9253
26	155941.0982
27	154160.6719
28	152180.7274
29	150390.9658
30	149123.9914
31	148106.5969
32	147337.4003
33	145412.8226
34	144502.7939
35	142594.7863
36	141749.368
37	139449.7344
38	138925.6916
39	136558.2695
40	135169.5639
41	135073.3794
42	134025.3809
43	132491.8492
44	131156.2899
45	130170.0218
46	129359.0552
47	128264.0918
48	127357.1786
49	126751.311
50	125809.5232
51	125399.8462
52	124831.4308
53	123339.1242
54	122607.8553
55	121733.1937
56	120680.62
57	119654.516
58	119091.6148
59	118298.1547
60	117405.0424
61	116850.8245
62	116251.3697
63	115824.5444
64	115497.8322
65	115022.9381
66	114269.0684
67	113343.0562
68	112733.4106
69	112234.961
70	111428.3094
71	110942.6266
72	110385.8588
73	109911.2237
74	109550.6606
75	108935.8841
76	107983.9328
77	107558.1665
78	107045.6323
79	106530.5971
80	106338.5662
81	106008.4489
82	105626.5632
83	105123.7143
84	104561.7335
85	104002.6399
86	103596.3087
87	103285.6248
88	102864.5417
89	102421.7539
90	102184.9063
91	101819.773
92	101394.242
93	100843.6773
94	100695.2353
95	100391.7045
96	100023.6621
97	99693.75423
98	99218.17826
99	98990.72021
100	98837.93397
101	98504.58596
102	98314.2091
103	98007.57463
104	97782.02539
105	97471.34645
106	97239.94976
107	96996.51141
108	96763.76549
109	96388.49431
110	96175.04752
111	95912.28456
112	95466.6247
113	95314.25691
114	95090.08737
115	94882.38057
116	94641.89379
117	94347.56363
118	94105.03143
119	93969.52393
120	93861.56686
121	93614.33531
122	93376.96039
123	93204.19259
124	93054.79619
125	92812.01679
126	92535.3253
127	92275.50866
128	92071.84377
129	91972.20337
130	91737.56993
131	91559.09516
132	91459.43858
133	91343.60679
134	91123.4934
135	90976.3414
136	90730.03098
137	90546.31187
138	90432.61437
139	90115.3458
140	90006.09031
141	89905.27027
142	89752.34673
143	89422.46546
144	89166.76612
145	89021.15209
146	88859.20298
147	88644.69423
148	88522.91648
149	88406.48012
150	88344.97688
151	88251.55269
152	88007.23058
153	87655.4116
154	87574.34954
155	87536.09223
156	87431.16911
157	87217.99809
158	86992.90123
159	86772.19706
160	86612.30547
161	86345.91404
162	86170.7329
163	85974.6846
164	85666.06162
165	85536.09537
166	85361.46818
167	85268.24274
168	85011.90338
169	84888.80076
170	84755.3152
171	84551.01636
172	84460.44938
173	84279.63773
174	84053.23565
175	83995.10678
176	83895.78729
177	83625.52937
178	83418.77834
179	83267.07375
180	83176.96057
181	83003.99211
182	82949.97638
183	82879.38168
184	82781.34406
185	82648.24963
186	82518.75192
187	82320.58977
188	82312.94392
189	82191.47086
190	82005.65666
191	81966.50937
192	81927.78422
193	81753.89886
194	81630.35105
195	81468.1646
196	81462.66699
197	81389.91201
198	81244.18587
199	81176.38123
