iter	RMSE
0	18324.51309
1	18088.14893
2	17856.97676
3	17655.20868
4	17473.35948
5	17304.30141
6	17152.46221
7	17030.58082
8	16906.01938
9	16791.51066
10	16691.0719
11	16594.53321
12	16518.54979
13	16406.30616
14	16334.28734
15	16265.09952
16	16202.94543
17	16146.28543
18	16092.44524
19	15976.39348
20	15928.42414
21	15890.5479
22	15856.86886
23	15825.74155
24	15787.36482
25	15761.69142
26	15734.7475
27	15709.91986
28	15688.69462
29	15666.70891
30	15642.08321
31	15617.45582
32	15598.58163
33	15574.79441
34	15556.62663
35	15540.60011
36	15523.20115
37	15509.29813
38	15494.83465
39	15482.83912
40	15469.85003
41	15453.4515
42	15440.1885
43	15428.43193
44	15418.96933
45	15408.49474
46	15398.50393
47	15387.57958
48	15378.87548
49	15370.80099
50	15361.58208
51	15349.44264
52	15342.22732
53	15331.43808
54	15322.483
55	15315.58706
56	15308.97396
57	15303.7761
58	15295.64798
59	15287.98384
60	15281.79635
61	15277.14766
62	15271.81352
63	15266.87757
64	15222.00479
65	15216.91501
66	15211.99288
67	15206.9218
68	15203.38573
69	15157.12401
70	15154.01079
71	15150.05848
72	15143.60905
73	15139.43126
74	15136.7186
75	15130.90247
76	15125.05934
77	15121.84936
78	15115.42685
79	15111.22263
80	15030.37099
81	15025.59662
82	14947.53118
83	14944.09538
84	14939.2508
85	14936.96818
86	14933.8084
87	14930.76012
88	14881.27087
89	14826.3809
90	14822.95814
91	14820.67717
92	14817.16349
93	14814.03445
94	14759.20582
95	14684.40403
96	14681.17898
97	14678.23473
98	14605.42557
99	14601.52392
100	14596.70181
101	14593.95934
102	14591.18181
103	14587.8166
104	14585.10773
105	14513.01623
106	14510.38087
107	14507.61707
108	14503.30459
109	14499.06272
110	14495.03283
111	14481.14441
112	14478.48275
113	14473.37338
114	14470.62429
115	14468.05837
116	14464.75659
117	14462.34965
118	14459.45852
119	14457.82413
120	14413.4778
121	14411.10275
122	14343.5412
123	14341.09521
124	14338.74942
125	14336.20225
126	14327.0516
127	14325.01342
128	14321.55294
129	14318.04104
130	14316.12133
131	14314.10281
132	14309.21537
133	14307.02082
134	14305.51161
135	14302.86019
136	14237.04518
137	14235.03718
138	14232.03096
139	14230.21552
140	14227.78577
141	14186.50407
142	14182.58521
143	14180.75352
144	14127.9931
145	14124.62519
146	14121.53477
147	14119.42128
148	14068.99832
149	14066.99534
150	14064.38088
151	14061.786
152	14058.59452
153	14054.58956
154	14052.3697
155	14004.55172
156	14001.42568
157	13937.70065
158	13935.44599
159	13933.54942
160	13871.30792
161	13867.81581
162	13864.33118
163	13861.11335
164	13801.90198
165	13799.53054
166	13749.05249
167	13747.19626
168	13744.30225
169	13741.96689
170	13739.8414
171	13682.02152
172	13637.13198
173	13633.31027
174	13630.41359
175	13618.68305
176	13563.80901
177	13510.47071
178	13507.8774
179	13456.06521
180	13454.12845
181	13404.03966
182	13355.30566
183	13308.04521
184	13262.11568
185	13217.3156
186	13173.84452
187	13171.30379
188	13129.18278
189	13088.19849
190	13048.56663
191	13010.09451
192	13005.71802
193	13003.68422
194	12999.88824
195	12962.49421
196	12926.11651
197	12890.79952
198	12856.57852
199	12854.22371
200	12820.9922
201	12818.98088
202	12786.60774
203	12734.19617
204	12702.85884
205	12672.43271
206	12670.51764
207	12640.3304
208	12636.51207
209	12607.85303
210	12605.99053
211	12603.22155
212	12600.43099
213	12572.59946
214	12570.1864
215	12567.77611
216	12564.36847
217	12537.30467
218	12515.82417
219	12490.20921
220	12465.44171
221	12446.3566
222	12443.74024
223	12405.29607
224	12401.86686
225	12399.27731
226	12375.73491
227	12352.35856
228	12350.5963
229	12347.58309
230	12346.05581
231	12323.85946
232	12319.77994
233	12298.30241
234	12277.43723
235	12275.09243
236	12223.72213
237	12222.02452
238	12219.51128
239	12199.19235
240	12194.69072
241	12191.90355
242	12188.53327
243	12172.00528
244	12169.86309
245	12166.27171
246	12164.42503
247	12144.69886
248	12125.55626
249	12122.91861
250	12104.36517
251	12102.8425
252	12101.27388
253	12098.96814
254	12080.9777
255	12063.56421
256	12059.5327
257	12056.21673
258	12039.31133
259	12022.93062
260	12020.94746
261	12005.07213
