iter	Passed	Remaining
0	21	21435
1	40	20207
2	58	19487
3	75	18900
4	88	17655
5	100	16730
6	112	15950
7	123	15355
8	134	14846
9	146	14471
10	156	14062
11	167	13752
12	178	13533
13	188	13306
14	200	13163
15	211	13021
16	223	12906
17	234	12790
18	245	12699
19	257	12599
20	268	12531
21	279	12444
22	290	12356
23	301	12281
24	313	12236
25	326	12244
26	337	12176
27	348	12105
28	359	12032
29	369	11962
30	380	11906
31	391	11856
32	403	11812
33	414	11768
34	424	11716
35	435	11649
36	445	11595
37	456	11549
38	466	11503
39	477	11457
40	488	11427
41	499	11390
42	510	11363
43	520	11314
44	531	11274
45	542	11243
46	552	11208
47	563	11181
48	574	11156
49	585	11126
50	596	11094
51	606	11063
52	618	11042
53	629	11029
54	640	11007
55	651	10975
56	661	10949
57	672	10924
58	683	10895
59	694	10883
60	705	10863
61	716	10836
62	727	10813
63	737	10784
64	748	10765
65	759	10745
66	770	10723
67	781	10706
68	791	10685
69	802	10663
70	813	10641
71	824	10623
72	834	10602
73	845	10583
74	856	10561
75	867	10546
76	878	10527
77	889	10513
78	900	10501
79	911	10483
80	922	10467
81	933	10448
82	944	10432
83	954	10413
84	966	10398
85	977	10383
86	987	10367
87	998	10349
88	1009	10337
89	1020	10319
90	1031	10302
91	1042	10287
92	1054	10286
93	1066	10281
94	1080	10288
95	1093	10294
96	1106	10300
97	1119	10300
98	1130	10291
99	1144	10304
100	1158	10309
101	1173	10327
102	1188	10347
103	1201	10354
104	1214	10354
105	1229	10372
106	1242	10371
107	1256	10377
108	1273	10408
109	1287	10417
110	1297	10395
111	1306	10359
112	1319	10359
113	1334	10371
114	1347	10366
115	1359	10361
116	1370	10345
117	1383	10339
118	1394	10322
119	1406	10311
120	1416	10292
121	1427	10274
122	1438	10259
123	1449	10241
124	1460	10224
125	1471	10205
126	1482	10190
127	1492	10170
128	1503	10154
129	1514	10135
130	1524	10116
131	1536	10100
132	1547	10085
133	1557	10067
134	1568	10052
135	1579	10034
136	1591	10023
137	1601	10005
138	1612	9989
139	1623	9972
140	1634	9957
141	1645	9943
142	1657	9931
143	1667	9913
144	1678	9899
145	1690	9889
146	1701	9872
147	1711	9855
148	1722	9837
149	1733	9825
150	1744	9809
151	1755	9793
152	1766	9780
153	1777	9763
154	1788	9747
155	1799	9733
156	1809	9717
157	1820	9703
158	1831	9689
159	1842	9672
160	1853	9657
161	1864	9643
162	1874	9627
163	1885	9612
164	1896	9599
165	1907	9584
166	1919	9573
167	1929	9558
168	1940	9543
169	1951	9527
170	1962	9514
171	1973	9498
172	1984	9484
173	1995	9473
174	2006	9459
175	2017	9444
176	2028	9432
177	2039	9420
178	2052	9412
179	2063	9398
180	2073	9381
181	2084	9366
182	2094	9352
183	2104	9333
184	2114	9316
185	2126	9304
186	2139	9299
187	2150	9286
188	2161	9272
189	2172	9260
190	2183	9246
191	2194	9233
192	2205	9221
193	2215	9204
194	2226	9192
195	2237	9178
196	2248	9166
197	2259	9153
198	2270	9140
199	2281	9126
200	2292	9113
201	2303	9099
202	2314	9085
203	2325	9073
204	2336	9060
205	2347	9046
206	2357	9031
207	2368	9018
208	2379	9004
209	2390	8991
210	2400	8977
211	2411	8964
212	2422	8951
213	2433	8938
214	2444	8923
215	2455	8911
216	2465	8897
217	2477	8885
218	2488	8873
219	2498	8859
220	2509	8846
221	2520	8834
222	2532	8822
223	2542	8809
224	2553	8796
225	2564	8783
226	2575	8770
227	2587	8760
228	2597	8746
229	2608	8733
230	2619	8720
231	2630	8707
232	2641	8694
233	2652	8682
234	2663	8669
235	2673	8656
236	2685	8645
237	2695	8631
238	2706	8617
239	2717	8605
240	2728	8593
241	2739	8581
242	2750	8567
243	2759	8551
244	2770	8537
245	2781	8524
246	2792	8512
247	2803	8500
248	2814	8488
249	2825	8475
250	2836	8464
251	2846	8449
252	2856	8434
253	2867	8421
254	2878	8409
255	2889	8396
256	2900	8384
257	2910	8371
258	2922	8362
259	2933	8350
260	2944	8338
261	2955	8325
262	2966	8311
263	2977	8299
264	2988	8287
265	2998	8274
266	3009	8262
267	3020	8250
268	3031	8238
269	3043	8227
270	3054	8215
271	3065	8203
272	3075	8189
273	3084	8173
274	3095	8160
275	3105	8146
276	3116	8134
277	3128	8124
278	3139	8112
279	3149	8099
280	3161	8088
281	3171	8076
282	3183	8064
283	3194	8053
284	3205	8042
285	3216	8029
286	3227	8017
287	3238	8005
288	3248	7992
289	3259	7980
290	3270	7968
291	3280	7955
292	3291	7942
293	3302	7930
294	3313	7918
295	3324	7907
296	3335	7894
297	3346	7883
298	3357	7872
299	3369	7862
300	3380	7849
301	3391	7837
302	3402	7826
303	3412	7813
304	3423	7801
305	3435	7790
306	3445	7778
307	3456	7765
308	3467	7754
309	3478	7742
310	3489	7731
311	3500	7719
312	3511	7706
313	3522	7695
314	3533	7683
315	3543	7670
316	3554	7658
317	3565	7647
318	3576	7635
319	3587	7623
320	3598	7611
321	3609	7599
322	3620	7589
323	3631	7577
324	3643	7567
325	3654	7555
326	3664	7542
327	3675	7530
328	3686	7517
329	3696	7505
330	3707	7493
331	3718	7482
332	3731	7475
333	3742	7463
334	3753	7450
335	3764	7438
336	3775	7426
337	3786	7415
338	3797	7404
339	3808	7392
340	3820	7382
341	3831	7371
342	3842	7359
343	3853	7348
344	3864	7337
345	3875	7324
346	3886	7313
347	3897	7303
348	3908	7290
349	3919	7279
350	3930	7267
351	3941	7255
352	3952	7244
353	3962	7231
354	3973	7219
355	3984	7207
356	3995	7195
357	4005	7183
358	4016	7171
359	4027	7159
360	4038	7148
361	4048	7135
362	4058	7122
363	4069	7110
364	4080	7098
365	4090	7085
366	4101	7074
367	4113	7063
368	4123	7051
369	4133	7038
370	4144	7027
371	4157	7017
372	4168	7006
373	4179	6995
374	4190	6983
375	4201	6971
376	4212	6960
377	4223	6949
378	4233	6936
379	4244	6924
380	4254	6912
381	4265	6900
382	4276	6889
383	4287	6878
384	4298	6866
385	4309	6854
386	4320	6843
387	4330	6831
388	4341	6819
389	4352	6807
390	4362	6795
391	4373	6783
392	4383	6770
393	4394	6759
394	4405	6748
395	4416	6736
396	4427	6724
397	4438	6712
398	4449	6701
399	4459	6689
400	4470	6678
401	4481	6667
402	4492	6655
403	4504	6644
404	4515	6633
405	4525	6621
406	4536	6610
407	4547	6598
408	4558	6587
409	4569	6576
410	4581	6565
411	4592	6554
412	4602	6541
413	4613	6529
414	4624	6518
415	4634	6506
416	4645	6494
417	4655	6482
418	4667	6471
419	4678	6460
420	4690	6450
421	4700	6438
422	4711	6426
423	4722	6415
424	4733	6403
425	4744	6392
426	4754	6380
427	4765	6369
428	4776	6357
429	4787	6346
430	4798	6334
431	4809	6323
432	4819	6311
433	4831	6301
434	4842	6289
435	4853	6278
436	4864	6266
437	4874	6255
438	4886	6244
439	4897	6233
440	4909	6222
441	4919	6210
442	4929	6198
443	4940	6187
444	4952	6176
445	4963	6164
446	4973	6152
447	4984	6142
448	4995	6130
449	5007	6120
450	5017	6108
451	5027	6095
452	5040	6086
453	5052	6076
454	5063	6065
455	5074	6054
456	5085	6042
457	5096	6031
458	5107	6019
459	5118	6008
460	5129	5997
461	5140	5986
462	5151	5974
463	5162	5964
464	5173	5952
465	5183	5940
466	5195	5929
467	5205	5917
468	5216	5906
469	5227	5894
470	5239	5885
471	5250	5873
472	5261	5861
473	5272	5850
474	5282	5838
475	5293	5827
476	5304	5815
477	5315	5805
478	5326	5793
479	5337	5782
480	5348	5770
481	5359	5759
482	5370	5748
